02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,10,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,99,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01
01,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,01
